period,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
post_covid_2023_2026,0,bioepi_sgq_lstm_no_digital,3,0.37790328895640307,0.5660217117988782,0.8782781695986551,0.6984125238726545,0.7633087671664529,0.518124455832097,0.7219355948591829,0.8887437428758026,0.5518890887291387,1.2479554454771504,4.619564530522188,499.0,3,4,0.43994479337872766,0.8589788869965873,14.102111300341269
post_covid_2023_2026,0,bioepi_sgq_lstm_no_digital,4,0.45886687378869245,0.6748122941143332,1.0473543067802058,0.5845669052224363,0.6983527019138601,0.5183147597743871,0.7354800996105344,0.8962232126052002,0.6143137047122705,1.8016112620672693,4.925816626522368,499.0,3,4,0.5351663457468475,0.8574284938420859,14.257150615791414
post_covid_2023_2026,0,gb_full_raw,1,0.2894061716476035,0.4441123824910167,0.6186788083539912,0.8771241056071597,0.8479353791490291,0.49148383556049063,0.7538419043209984,0.9314825708553931,0.5053332934306828,1.406583976081316,4.183353990182864,499.0,3,4,0.19790722877319114,1.4623324950867433,-46.233249508674334
post_covid_2023_2026,0,gb_full_raw,2,0.3686716555439145,0.593540759334442,0.8052012363569095,0.8004374794987411,0.8198414242075761,0.46873142730285583,0.7612361051646767,0.9365656962085533,0.6109628617652477,1.7017374173782358,4.583664275772109,499.0,3,4,0.3326065607660787,1.108431699888206,-10.8431699888206
post_covid_2023_2026,0,gb_full_raw,3,0.42537679625808167,0.6534622043953743,0.9324074294354214,0.6823328628863994,0.7134500969557132,0.4993266815318311,0.7348697583332134,0.9069188471181827,0.7719474032182218,1.6606660697900473,5.101657156829227,499.0,3,4,0.43994479337872766,0.96688676093024,3.3113239069760048
post_covid_2023_2026,0,gb_full_raw,4,0.47497300020413064,0.727310193308936,1.0563864284065034,0.6534563615900184,0.7234276986655711,0.549906098042744,0.7916295660860878,0.9209046646934845,0.9122273684147076,2.3245663956906646,5.425739008012871,499.0,3,4,0.5351663457468475,0.8875240455213705,11.247595447862945
post_covid_2023_2026,0,persistence,1,0.19790722877319114,0.28252809908510523,0.4573197909612265,0.9282590169615167,0.917400855160382,0.3968704785342416,0.719528294005646,0.9644322721413313,0.21504043949767834,0.7117291321321058,3.4152597386462578,499.0,3,4,0.19790722877319114,1.0,0.0
post_covid_2023_2026,0,persistence,2,0.3326065607660787,0.48074258632665606,0.7393479451183623,0.8106153474030386,0.8378573945754023,0.3953523857095285,0.7175543504114933,0.9706985871271585,0.3386601890068375,1.1366158736331622,5.162448006583837,499.0,3,4,0.3326065607660787,1.0,0.0
post_covid_2023_2026,0,persistence,3,0.43994479337872766,0.6460900974866601,0.9861085406974678,0.6420290248268724,0.741785001322732,0.4099713616947836,0.715165198865365,0.9724111021868497,0.4898590378155769,1.5634596119276274,5.829181885137889,499.0,3,4,0.43994479337872766,1.0,0.0
post_covid_2023_2026,0,persistence,4,0.5351663457468475,0.8011847633683726,1.2015304055736886,0.4984455949181417,0.6561247278446589,0.3697339151531698,0.7113309826819143,0.9730448123305266,0.4918447097629308,2.008652282699203,6.145573679835656,499.0,3,4,0.5351663457468475,1.0,0.0
post_covid_2023_2026,0,ridge_global_open,1,0.4645487672550457,0.7150009832874074,0.8743457287085179,0.8315189511293228,0.7766658778392589,0.3347889044753156,0.5424449969310596,0.8888365554306321,0.4486340624663256,0.9015288205292257,3.2038663518712966,499.0,3,4,0.19790722877319114,2.347305705479992,-134.7305705479992
post_covid_2023_2026,0,ridge_global_open,2,0.5333030158948957,0.8527403127757606,1.0688993728397171,0.7178599635117373,0.6581103254368358,0.4204777761920619,0.6239839921982779,0.9359144823430537,0.6614962143476983,1.4607580013205899,4.668307404608075,499.0,3,4,0.3326065607660787,1.6034049799455588,-60.340497994555875
post_covid_2023_2026,0,ridge_global_open,3,0.6330234218460665,1.0431624768268108,1.3043861640747838,0.5777706159269399,0.5762595183371745,0.44274313034695095,0.6350553746733149,0.8987779938776616,0.8678421129902557,1.9198214547390446,5.145944235037832,499.0,3,4,0.43994479337872766,1.438870129555384,-43.88701295553841
