scope,test_season,country,horizon,model,official_delay_weeks,probability_threshold,threshold_source,available_target_start,available_target_end,available_weeks,n_events,n_alarms,matched,sensitivity,PPV,F1,mean_lead_weeks
test_season,2024/2025,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,2.0
test_season,2023/2024,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,9,5,1.0,0.5555555555555556,0.7142857142857143,3.8
test_season,2024/2025,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,2.0
test_season,2023/2024,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,9,5,1.0,0.5555555555555556,0.7142857142857143,4.4
test_season,2024/2025,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,2,1,1.0,0.5,0.6666666666666666,4.0
test_season,2023/2024,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,11,5,1.0,0.45454545454545453,0.625,4.6
test_season,2024/2025,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,5.0
test_season,2023/2024,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,2,4,2,1.0,0.5,0.6666666666666666,4.0
test_season,2024/2025,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,2,3,2,1.0,0.6666666666666666,0.8,1.5
test_season,2023/2024,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,2,4,2,1.0,0.5,0.6666666666666666,4.0
test_season,2024/2025,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2023/2024,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,2,1,1,0.5,1.0,0.6666666666666666,1.0
test_season,2024/2025,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2023/2024,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,2,1,1,0.5,1.0,0.6666666666666666,1.0
test_season,2024/2025,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2025/2026,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-06,41,3,8,3,1.0,0.375,0.5454545454545454,2.6666666666666665
test_season,2025/2026,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-13,42,3,8,3,1.0,0.375,0.5454545454545454,3.0
test_season,2025/2026,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-20,43,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0
test_season,2025/2026,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-27,44,4,7,3,0.75,0.42857142857142855,0.5454545454545454,3.6666666666666665
test_season,2025/2026,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-06,41,2,5,2,1.0,0.4,0.5714285714285715,4.5
test_season,2025/2026,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-13,42,2,5,2,1.0,0.4,0.5714285714285715,3.5
test_season,2025/2026,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-20,43,2,5,2,1.0,0.4,0.5714285714285715,4.5
test_season,2025/2026,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-27,44,2,6,2,1.0,0.3333333333333333,0.5,4.5
test_season,2025/2026,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2025-06-30,2026-04-06,41,2,4,2,1.0,0.5,0.6666666666666666,3.0
