evaluation,official_delay_weeks,model,horizon,WIS,activity
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,0.33072173076684913,high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,0.45456027480952255,high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,0.5520618174888653,high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,0.19742049731707648,high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,2,0.36473082546427055,high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,3,0.4903780556947059,high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,4,0.6302618129873935,high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,1,0.1951638018647641,high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,2,0.3455532747089434,high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,3,0.4755994701410198,high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,4,0.582285197309259,high
rolling_window_cv,0,gb_full_raw,1,0.40397095698245544,high
rolling_window_cv,0,gb_full_raw,2,0.4762094634096233,high
rolling_window_cv,0,gb_full_raw,3,0.5217261832377663,high
rolling_window_cv,0,gb_full_raw,4,0.5688084486532421,high
rolling_window_cv,0,persistence,1,0.23261772251451643,high
rolling_window_cv,0,persistence,2,0.38036290359779784,high
rolling_window_cv,0,persistence,3,0.5020520293867072,high
rolling_window_cv,0,persistence,4,0.6290086677803544,high
rolling_window_cv,0,ridge_global_open,1,0.7370990422344867,high
rolling_window_cv,0,ridge_global_open,2,0.6622774045106243,high
rolling_window_cv,0,ridge_global_open,3,0.7840636505008257,high
rolling_window_cv,0,ridge_global_open,4,1.0278727408204638,high
rolling_window_cv,0,ridge_google_wiki,1,0.7278974043584463,high
rolling_window_cv,0,ridge_google_wiki,2,0.6578647321131327,high
rolling_window_cv,0,ridge_google_wiki,3,0.7829185866819937,high
rolling_window_cv,0,ridge_google_wiki,4,1.0313668353234193,high
rolling_window_cv,0,ridge_no_digital,1,0.42678181667061404,high
rolling_window_cv,0,ridge_no_digital,2,0.6343290881482422,high
rolling_window_cv,0,ridge_no_digital,3,0.7402957227896382,high
rolling_window_cv,0,ridge_no_digital,4,0.9496133835514499,high
rolling_window_cv,0,ridge_raw_cn_search,1,0.3600285638038259,high
rolling_window_cv,0,ridge_raw_cn_search,2,0.5194545324135981,high
rolling_window_cv,0,ridge_raw_cn_search,3,0.515354450705858,high
rolling_window_cv,0,ridge_raw_cn_search,4,0.6047090493129367,high
rolling_window_cv,0,ridge_social_raw,1,0.3735754170486009,high
rolling_window_cv,0,ridge_social_raw,2,0.5170642127402801,high
rolling_window_cv,0,ridge_social_raw,3,0.5424571083450254,high
rolling_window_cv,0,ridge_social_raw,4,0.601291626353459,high
rolling_window_cv,0,seasonal_naive,1,1.0618784130188326,high
rolling_window_cv,0,seasonal_naive,2,1.0465801154866103,high
rolling_window_cv,0,seasonal_naive,3,1.0349044562744478,high
rolling_window_cv,0,seasonal_naive,4,1.033975443960857,high
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.28180781768924557,high
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.454886057796164,high
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.6083260663027221,high
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.7070227636231907,high
