evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.017813473551771458,-0.04763873992413731,0.006379542948488924,0.9255,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.017813473551771458,-0.0536342725079449,0.010616499325649906,0.8685,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.017813473551771458,-0.05368206772215834,0.016112047698877602,0.753,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.028670270003462325,-0.07015526710950329,0.0166223294324947,0.8925,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.028670270003462325,-0.07010941265000582,0.02724280499714854,0.806,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.028670270003462325,-0.06630319113608153,0.0268696052515326,0.7825,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,persistence,4,-0.23675890879061331,-0.371950306187403,-0.12256874259953589,1.0,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,persistence,8,-0.23675890879061331,-0.386531764257649,-0.08817219228336459,0.9995,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,persistence,13,-0.23675890879061331,-0.4017158555666113,-0.07404303956967818,1.0,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.017338814169067195,-0.10469710141152834,0.08224495922835816,0.588,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.017338814169067195,-0.10650241216886212,0.09146866223049414,0.5375,196
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.017338814169067195,-0.09744156150113423,0.10942529856701165,0.4905,196
rolling_window_cv,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.008768211220504191,-0.026043800260719917,0.0009832647705148663,0.9515,303
rolling_window_cv,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.008768211220504191,-0.026213182601990338,0.0010081011556084057,0.943,303
rolling_window_cv,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.008768211220504191,-0.02383585703036383,0.0010110112870178383,0.9325,303
rolling_window_cv,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.009983449649151422,-0.026484011109121765,0.0017205673775786518,0.925,303
