evaluation,official_delay_weeks,model,horizon,country,region,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,hhs7,67.0,0.2895385080510753,0.46906601446684654,0.7870973464308032,0.7949706530791867,0.9223002633889379,0.43283582089552236,0.6716417910447762,0.9253731343283582,0.48961274828156087,0.973971865323774,2.23735950953068
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,hhs8,67.0,0.27527791153601266,0.45675194262150454,0.7851126895613768,0.7854361904583254,0.9281267459493975,0.47761194029850745,0.7910447761194029,0.9402985074626866,0.527334613417215,1.1972929294187793,2.777843491331552
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,hhs9,67.0,0.20642876093900814,0.367076155244083,0.505647479728296,0.9039412269923639,0.9510735094580575,0.40298507462686567,0.7611940298507462,1.0,0.5397456159097049,1.05390282839804,4.043248075401522
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,CHN,northern_provinces,62.0,0.18391953036658568,0.2982539710520807,0.49020192362376863,0.9311877753993562,0.8405983323778283,0.532258064516129,0.8387096774193549,0.967741935483871,0.382281957970812,0.9325169839357947,1.840750423650588
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,CHN,southern_provinces,62.0,0.16551210325904456,0.2797068113946985,0.4245952909655525,0.9356410150809559,0.8465989479629129,0.41935483870967744,0.9032258064516129,0.9838709677419355,0.3741205279503942,1.0706884367750857,1.8833641567898378
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs1,67.0,0.21342154427759163,0.32753516052204096,0.6021258235112943,0.9523885583203858,0.9833985154441697,0.3582089552238806,0.5373134328358209,0.8656716417910447,0.2484407528220162,0.4669247003844002,0.8912704569301498
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs10,67.0,0.15225068398208602,0.24728126660465397,0.41449265350726594,0.9666990578435154,0.9847154601324928,0.417910447761194,0.6716417910447762,0.8805970149253731,0.2607842364487474,0.47417742144733455,0.9268119424359123
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs2,67.0,0.14773115703330572,0.2466652798810678,0.4347307568347516,0.9593653622121446,0.9792082368904145,0.3880597014925373,0.6417910447761194,0.9253731343283582,0.24928981893775806,0.4649315685416058,0.9155986984376474
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs3,67.0,0.10817952018485129,0.180462002464634,0.316808600331913,0.9645774331464771,0.982999441296193,0.5223880597014925,0.7164179104477612,0.9552238805970149,0.24083968895946903,0.4544926659903624,0.838571736961603
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs4,67.0,0.12177168893974004,0.20542766694707953,0.36064652225517085,0.957492651861439,0.9795674036235934,0.5074626865671642,0.7014925373134329,0.9253731343283582,0.2428325633476697,0.4397925303157752,0.8752547561677533
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs5,67.0,0.19005315443338222,0.2975240230595846,0.5060433422159851,0.9576853402578257,0.9821214781706443,0.34328358208955223,0.5970149253731343,0.8656716417910447,0.2513826629838476,0.4485860874952831,0.8976813208812208
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,hhs6,67.0,0.12270684898278027,0.21758217681770783,0.33205098544628214,0.9317300313700971,0.9584563811956263,0.4626865671641791,0.746268656716418,0.8955223880597015,0.26264174101413507,0.5613112494401032,0.8455332578222946
